Repository's Location,Branch,Author's GitHub ID,Author's Emails,Author's Display Name,Author's Git Author Name,Ignore Glob List
https://github.com/Elliott-Han-YuGeng/duke.git,master,Elliott-Han-YuGeng,,HAN ..GENG,Admin,
https://github.com/JiaXingVV/duke.git,master,JiaXingVV,,WANG..XING,,
https://github.com/mfarhan-s/duke.git,master,mfarhan-s,,MUHA..ALIM,,
https://github.com/goosekite/duke.git,master,goosekite,,JEFF..N YU,Jefferson,
https://github.com/JoelEeWH/duke.git,master,JoelEeWH,,JOEL.. HAO,Joel Ee,
https://github.com/LeeTheGreat/duke.git,master,LeeTheGreat,,LEE .. LUN,,
https://github.com/stanleysee12/duke.git,master,stanleysee12,,STAN.. HUA,LUCIA\stanley;Stanley,
https://github.com/youyiwan/duke.git,master,youyiwan,,WAN ..OUYI,,
https://github.com/anythingwhatever192940958/duke.git,master,anythingwhatever192940958,,ETHA.. YIH,,
https://github.com/jelemii/duke.git,master,jelemii,,LIM ..REMY,,
https://github.com/sbkiang/duke.git,master,sbkiang,,KIAN..BOON,,
https://github.com/Carosis/duke.git,master,Carosis,,YUCH..JING,,
https://github.com/Pc1234321/duke.git,master,Pc1234321,,WANG..HENG,,
https://github.com/orngcoffees/duke.git,master,orngcoffees,,YAP ..M YI,Hazel,
https://github.com/mavericktjj/duke.git,master,mavericktjj,,TAY ..RICK,,
